ILYR  IROW  ICOL  DELEV  COND  SEGMID
1  3  17  3.875  2500  9
1  3  9  5.875  2500  8
1  6  11  5.375  2500  8
1  4  17  3.875  2500  9
1  6  5  6.875  2500  7
1  6  6  6.625  2500  7
1  6  7  6.375  2500  7
1  6  8  6.125  2500  7
1  6  3  7.375  2500  7
1  6  10  5.625  2500  8
1  5  18  3.625  2500  9
1  6  12  5.125  2500  8
1  6  13  4.875  2500  8
1  6  14  4.625  2500  9
1  6  15  4.375  2500  9
1  6  16  4.125  2500  9
1  6  17  3.875  2500  9
1  6  9  5.875  2500  8
1  5  11  5.375  2500  8
1  5  4  7.125  2500  7
1  5  5  6.875  2500  7
1  5  6  6.625  2500  7
1  5  7  6.375  2500  7
1  5  8  6.125  2500  7
1  6  4  7.125  2500  7
1  5  10  5.625  2500  8
1  11  3  7.375  2500  7
1  5  12  5.125  2500  8
1  5  13  4.875  2500  8
1  5  14  4.625  2500  9
1  5  15  4.375  2500  9
1  5  16  4.125  2500  9
1  5  17  3.875  2500  9
1  5  9  5.875  2500  8
1  16  11  5.375  2500  8
1  16  18  3.625  2500  9
1  16  5  6.875  2500  7
1  16  6  6.625  2500  7
1  16  7  6.375  2500  7
1  16  8  6.125  2500  7
1  16  3  7.375  2500  7
1  16  10  5.625  2500  8
1  15  18  3.625  2500  9
1  16  12  5.125  2500  8
1  16  13  4.875  2500  8
1  16  14  4.625  2500  9
1  16  15  4.375  2500  9
1  16  16  4.125  2500  9
1  15  3  7.375  2500  7
1  16  9  5.875  2500  8
1  15  11  5.375  2500  8
1  10  17  3.875  2500  9
1  15  5  6.875  2500  7
1  15  6  6.625  2500  7
1  15  7  6.375  2500  7
1  15  8  6.125  2500  7
1  16  4  7.125  2500  7
1  15  10  5.625  2500  8
1  17  3  7.375  2500  7
1  15  12  5.125  2500  8
1  15  13  4.875  2500  8
1  15  14  4.625  2500  9
1  15  15  4.375  2500  9
1  15  16  4.125  2500  9
1  15  17  3.875  2500  9
1  15  9  5.875  2500  8
1  18  11  5.375  2500  8
1  16  17  3.875  2500  9
1  18  5  6.875  2500  7
1  18  6  6.625  2500  7
1  18  7  6.375  2500  7
1  18  8  6.125  2500  7
1  18  3  7.375  2500  7
1  18  10  5.625  2500  8
1  17  18  3.625  2500  9
1  18  12  5.125  2500  8
1  18  13  4.875  2500  8
1  18  14  4.625  2500  9
1  18  15  4.375  2500  9
1  18  16  4.125  2500  9
1  18  17  3.875  2500  9
1  18  9  5.875  2500  8
1  17  11  5.375  2500  8
1  17  4  7.125  2500  7
1  17  5  6.875  2500  7
1  17  6  6.625  2500  7
1  17  7  6.375  2500  7
1  17  8  6.125  2500  7
1  18  4  7.125  2500  7
1  17  10  5.625  2500  8
1  14  18  3.625  2500  9
1  17  12  5.125  2500  8
1  17  13  4.875  2500  8
1  17  14  4.625  2500  9
1  17  15  4.375  2500  9
1  17  16  4.125  2500  9
1  17  17  3.875  2500  9
1  17  9  5.875  2500  8
1  12  11  5.375  2500  8
1  12  18  3.625  2500  9
1  12  5  6.875  2500  7
1  12  6  6.625  2500  7
1  12  7  6.375  2500  7
1  12  8  6.125  2500  7
1  12  3  7.375  2500  7
1  12  10  5.625  2500  8
1  11  18  3.625  2500  9
1  12  12  5.125  2500  8
1  12  13  4.875  2500  8
1  12  14  4.625  2500  9
1  12  15  4.375  2500  9
1  12  16  4.125  2500  9
1  15  4  7.125  2500  7
1  12  9  5.875  2500  8
1  11  11  5.375  2500  8
1  11  4  7.125  2500  7
1  11  5  6.875  2500  7
1  11  6  6.625  2500  7
1  11  7  6.375  2500  7
1  11  8  6.125  2500  7
1  12  4  7.125  2500  7
1  11  10  5.625  2500  8
1  13  3  7.375  2500  7
1  11  12  5.125  2500  8
1  11  13  4.875  2500  8
1  11  14  4.625  2500  9
1  11  15  4.375  2500  9
1  11  16  4.125  2500  9
1  11  17  3.875  2500  9
1  11  9  5.875  2500  8
1  14  11  5.375  2500  8
1  12  17  3.875  2500  9
1  14  5  6.875  2500  7
1  14  6  6.625  2500  7
1  14  7  6.375  2500  7
1  14  8  6.125  2500  7
1  14  3  7.375  2500  7
1  14  10  5.625  2500  8
1  13  18  3.625  2500  9
1  14  12  5.125  2500  8
1  14  13  4.875  2500  8
1  14  14  4.625  2500  9
1  14  15  4.375  2500  9
1  14  16  4.125  2500  9
1  14  17  3.875  2500  9
1  14  9  5.875  2500  8
1  13  11  5.375  2500  8
1  13  4  7.125  2500  7
1  13  5  6.875  2500  7
1  13  6  6.625  2500  7
1  13  7  6.375  2500  7
1  13  8  6.125  2500  7
1  14  4  7.125  2500  7
1  13  10  5.625  2500  8
1  18  18  3.625  2500  9
1  13  12  5.125  2500  8
1  13  13  4.875  2500  8
1  13  14  4.625  2500  9
1  13  15  4.375  2500  9
1  13  16  4.125  2500  9
1  13  17  3.875  2500  9
1  13  9  5.875  2500  8
